dataset,variant,tau_m,tau_c,class,precision,recall,f1,support,accuracy
arct,original,0.5,80,0,0.515,0.9363636363636364,0.6645161290322581,110,0.5272727272727272
arct,original,0.5,80,1,0.65,0.11818181818181818,0.19999999999999998,110,0.5272727272727272
arct,original,0.5,90,0,0.5178571428571429,0.9586776859504132,0.6724637681159421,121,0.5330578512396694
arct,original,0.5,90,1,0.7222222222222222,0.10743801652892562,0.18705035971223022,121,0.5330578512396694
arct,original,0.5,100,0,0.49825783972125437,0.9533333333333334,0.6544622425629291,150,0.49666666666666665
arct,original,0.5,100,1,0.46153846153846156,0.04,0.07361963190184048,150,0.49666666666666665
arct,original,0.55,80,0,0.5093457943925234,0.9083333333333333,0.6526946107784432,120,0.5166666666666667
arct,original,0.55,80,1,0.5769230769230769,0.125,0.2054794520547945,120,0.5166666666666667
arct,original,0.55,90,0,0.5126050420168067,0.9312977099236641,0.6612466124661246,131,0.5229007633587787
arct,original,0.55,90,1,0.625,0.11450381679389313,0.1935483870967742,131,0.5229007633587787
arct,original,0.55,100,0,0.49823321554770317,0.94,0.651270207852194,150,0.49666666666666665
arct,original,0.55,100,1,0.47058823529411764,0.05333333333333334,0.09580838323353294,150,0.49666666666666665
arct,original,0.6,80,0,0.5055762081784386,0.9251700680272109,0.6538461538461539,147,0.5102040816326531
arct,original,0.6,80,1,0.56,0.09523809523809523,0.16279069767441862,147,0.5102040816326531
arct,original,0.6,90,0,0.509090909090909,0.9333333333333333,0.6588235294117647,150,0.5166666666666667
arct,original,0.6,90,1,0.6,0.1,0.17142857142857143,150,0.5166666666666667
arct,original,0.6,100,0,0.5035211267605634,0.9533333333333334,0.6589861751152074,150,0.5066666666666667
arct,original,0.6,100,1,0.5625,0.06,0.10843373493975904,150,0.5066666666666667
arct,original,0.65,80,0,0.5034965034965035,0.96,0.6605504587155964,150,0.5066666666666667
arct,original,0.65,80,1,0.5714285714285714,0.05333333333333334,0.0975609756097561,150,0.5066666666666667
arct,original,0.65,90,0,0.5017421602787456,0.96,0.6590389016018307,150,0.5033333333333333
arct,original,0.65,90,1,0.5384615384615384,0.04666666666666667,0.08588957055214724,150,0.5033333333333333
arct,original,0.65,100,0,0.5017301038062284,0.9666666666666667,0.6605922551252847,150,0.5033333333333333
arct,original,0.65,100,1,0.5454545454545454,0.04,0.07453416149068322,150,0.5033333333333333
arct,original,0.7,80,0,0.5068027210884354,0.9933333333333333,0.6711711711711712,150,0.5133333333333333
arct,original,0.7,80,1,0.8333333333333334,0.03333333333333333,0.06410256410256411,150,0.5133333333333333
arct,original,0.7,90,0,0.5084745762711864,1.0,0.6741573033707865,150,0.5166666666666667
arct,original,0.7,90,1,1.0,0.03333333333333333,0.06451612903225806,150,0.5166666666666667
arct,original,0.7,100,0,0.5016949152542373,0.9866666666666667,0.6651685393258426,150,0.5033333333333333
arct,original,0.7,100,1,0.6,0.02,0.03870967741935484,150,0.5033333333333333
arct,original,0.75,80,0,0.5067567567567568,1.0,0.672645739910314,150,0.5133333333333333
arct,original,0.75,80,1,1.0,0.02666666666666667,0.05194805194805195,150,0.5133333333333333
arct,original,0.75,90,0,0.5067567567567568,1.0,0.672645739910314,150,0.5133333333333333
arct,original,0.75,90,1,1.0,0.02666666666666667,0.05194805194805195,150,0.5133333333333333
arct,original,0.75,100,0,0.4983277591973244,0.9933333333333333,0.6636971046770601,150,0.49666666666666665
arct,original,0.75,100,1,0.0,0.0,0.0,150,0.49666666666666665
arct,original,0.8,80,0,0.5,1.0,0.6666666666666666,150,0.5
arct,original,0.8,80,1,0.0,0.0,0.0,150,0.5
arct,original,0.8,90,0,0.5,1.0,0.6666666666666666,150,0.5
arct,original,0.8,90,1,0.0,0.0,0.0,150,0.5
arct,original,0.8,100,0,0.5,1.0,0.6666666666666666,150,0.5
arct,original,0.8,100,1,0.0,0.0,0.0,150,0.5
arct,one,0.5,80,0,0.5495867768595041,0.8866666666666667,0.6785714285714286,150,0.58
arct,one,0.5,80,1,0.7068965517241379,0.2733333333333333,0.3942307692307692,150,0.58
arct,one,0.5,90,0,0.5588235294117647,0.8866666666666667,0.6855670103092784,150,0.5933333333333334
arct,one,0.5,90,1,0.7258064516129032,0.3,0.4245283018867924,150,0.5933333333333334
arct,one,0.5,100,0,0.5313653136531366,0.96,0.6840855106888362,150,0.5566666666666666
arct,one,0.5,100,1,0.7931034482758621,0.15333333333333332,0.2569832402234637,150,0.5566666666666666
arct,one,0.55,80,0,0.5531914893617021,0.8666666666666667,0.6753246753246753,150,0.5833333333333334
arct,one,0.55,80,1,0.6923076923076923,0.3,0.41860465116279066,150,0.5833333333333334
arct,one,0.55,90,0,0.5598290598290598,0.8733333333333333,0.6822916666666666,150,0.5933333333333334
arct,one,0.55,90,1,0.7121212121212122,0.31333333333333335,0.43518518518518523,150,0.5933333333333334
arct,one,0.55,100,0,0.532319391634981,0.9333333333333333,0.6779661016949153,150,0.5566666666666666
arct,one,0.55,100,1,0.7297297297297297,0.18,0.2887700534759358,150,0.5566666666666666
arct,one,0.6,80,0,0.5617021276595745,0.88,0.6857142857142857,150,0.5966666666666667
arct,one,0.6,80,1,0.7230769230769231,0.31333333333333335,0.43720930232558136,150,0.5966666666666667
arct,one,0.6,90,0,0.5683760683760684,0.8866666666666667,0.6927083333333334,150,0.6066666666666667
arct,one,0.6,90,1,0.7424242424242424,0.32666666666666666,0.4537037037037037,150,0.6066666666666667
arct,one,0.6,100,0,0.531496062992126,0.9,0.6683168316831684,150,0.5533333333333333
arct,one,0.6,100,1,0.6739130434782609,0.20666666666666667,0.3163265306122449,150,0.5533333333333333
arct,one,0.65,80,0,0.5655737704918032,0.92,0.7005076142131978,150,0.6066666666666667
arct,one,0.65,80,1,0.7857142857142857,0.29333333333333333,0.42718446601941745,150,0.6066666666666667
arct,one,0.65,90,0,0.5761316872427984,0.9333333333333333,0.712468193384224,150,0.6233333333333333
arct,one,0.65,90,1,0.8245614035087719,0.31333333333333335,0.4541062801932368,150,0.6233333333333333
arct,one,0.65,100,0,0.5384615384615384,0.9333333333333333,0.6829268292682926,150,0.5666666666666667
arct,one,0.65,100,1,0.75,0.2,0.31578947368421056,150,0.5666666666666667
arct,one,0.7,80,0,0.5625,0.96,0.7093596059113301,150,0.6066666666666667
arct,one,0.7,80,1,0.8636363636363636,0.25333333333333335,0.3917525773195877,150,0.6066666666666667
arct,one,0.7,90,0,0.5708661417322834,0.9666666666666667,0.7178217821782178,150,0.62
arct,one,0.7,90,1,0.8913043478260869,0.2733333333333333,0.4183673469387755,150,0.62
arct,one,0.7,100,0,0.5413533834586466,0.96,0.6923076923076922,150,0.5733333333333334
arct,one,0.7,100,1,0.8235294117647058,0.18666666666666668,0.3043478260869565,150,0.5733333333333334
arct,one,0.75,80,0,0.5410447761194029,0.9666666666666667,0.69377990430622,150,0.5733333333333334
arct,one,0.75,80,1,0.84375,0.18,0.2967032967032967,150,0.5733333333333334
arct,one,0.75,90,0,0.5444444444444444,0.98,0.7,150,0.58
arct,one,0.75,90,1,0.9,0.18,0.3,150,0.58
arct,one,0.75,100,0,0.5212765957446809,0.98,0.6805555555555556,150,0.54
arct,one,0.75,100,1,0.8333333333333334,0.1,0.17857142857142858,150,0.54
arct,one,0.8,80,0,0.525,0.98,0.6837209302325581,150,0.5466666666666666
arct,one,0.8,80,1,0.85,0.11333333333333333,0.2,150,0.5466666666666666
arct,one,0.8,90,0,0.524822695035461,0.9866666666666667,0.6851851851851852,150,0.5466666666666666
arct,one,0.8,90,1,0.8888888888888888,0.10666666666666667,0.19047619047619047,150,0.5466666666666666
arct,one,0.8,100,0,0.5085910652920962,0.9866666666666667,0.671201814058957,150,0.5166666666666667
arct,one,0.8,100,1,0.7777777777777778,0.04666666666666667,0.08805031446540881,150,0.5166666666666667
arct,two,0.5,80,0,0.5555555555555556,0.8482142857142857,0.6713780918727914,112,0.5848214285714286
arct,two,0.5,80,1,0.6792452830188679,0.32142857142857145,0.43636363636363634,112,0.5848214285714286
arct,two,0.5,90,0,0.5652173913043478,0.859504132231405,0.681967213114754,121,0.5991735537190083
arct,two,0.5,90,1,0.7068965517241379,0.33884297520661155,0.4581005586592179,121,0.5991735537190083
arct,two,0.5,100,0,0.5220588235294118,0.9466666666666667,0.6729857819905214,150,0.54
arct,two,0.5,100,1,0.7142857142857143,0.13333333333333333,0.2247191011235955,150,0.54
arct,two,0.55,80,0,0.5617977528089888,0.8403361344537815,0.6734006734006734,119,0.592436974789916
arct,two,0.55,80,1,0.6833333333333333,0.3445378151260504,0.4581005586592179,119,0.592436974789916
arct,two,0.55,90,0,0.5706806282722513,0.8449612403100775,0.68125,129,0.6046511627906976
arct,two,0.55,90,1,0.7014925373134329,0.3643410852713178,0.4795918367346939,129,0.6046511627906976
arct,two,0.55,100,0,0.5193798449612403,0.8933333333333333,0.6568627450980392,150,0.5333333333333333
arct,two,0.55,100,1,0.6190476190476191,0.17333333333333334,0.27083333333333337,150,0.5333333333333333
arct,two,0.6,80,0,0.5714285714285714,0.821917808219178,0.6741573033707865,146,0.6027397260273972
arct,two,0.6,80,1,0.6829268292682927,0.3835616438356164,0.4912280701754387,146,0.6027397260273972
arct,two,0.6,90,0,0.5841121495327103,0.8333333333333334,0.6868131868131868,150,0.62
arct,two,0.6,90,1,0.7093023255813954,0.4066666666666667,0.516949152542373,150,0.62
arct,two,0.6,100,0,0.5439330543933054,0.8666666666666667,0.6683804627249358,150,0.57
arct,two,0.6,100,1,0.6721311475409836,0.2733333333333333,0.38862559241706157,150,0.57
arct,two,0.65,80,0,0.5758928571428571,0.86,0.6898395721925134,150,0.6133333333333333
arct,two,0.65,80,1,0.7236842105263158,0.36666666666666664,0.4867256637168142,150,0.6133333333333333
arct,two,0.65,90,0,0.5829596412556054,0.8666666666666667,0.6970509383378017,150,0.6233333333333333
arct,two,0.65,90,1,0.7402597402597403,0.38,0.5022026431718062,150,0.6233333333333333
arct,two,0.65,100,0,0.55,0.88,0.676923076923077,150,0.58
arct,two,0.65,100,1,0.7,0.28,0.4,150,0.58
arct,two,0.7,80,0,0.5677966101694916,0.8933333333333333,0.6943005181347152,150,0.6066666666666667
arct,two,0.7,80,1,0.75,0.32,0.44859813084112143,150,0.6066666666666667
arct,two,0.7,90,0,0.5708333333333333,0.9133333333333333,0.7025641025641025,150,0.6133333333333333
arct,two,0.7,90,1,0.7833333333333333,0.31333333333333335,0.44761904761904764,150,0.6133333333333333
arct,two,0.7,100,0,0.5461847389558233,0.9066666666666666,0.681704260651629,150,0.5766666666666667
arct,two,0.7,100,1,0.7254901960784313,0.24666666666666667,0.3681592039800995,150,0.5766666666666667
arct,two,0.75,80,0,0.5595238095238095,0.94,0.7014925373134329,150,0.6
arct,two,0.75,80,1,0.8125,0.26,0.3939393939393939,150,0.6
arct,two,0.75,90,0,0.5595238095238095,0.94,0.7014925373134329,150,0.6
arct,two,0.75,90,1,0.8125,0.26,0.3939393939393939,150,0.6
arct,two,0.75,100,0,0.5363984674329502,0.9333333333333333,0.6812652068126521,150,0.5633333333333334
arct,two,0.75,100,1,0.7435897435897436,0.19333333333333333,0.30687830687830686,150,0.5633333333333334
arct,two,0.8,80,0,0.5426356589147286,0.9333333333333333,0.6862745098039216,150,0.5733333333333334
arct,two,0.8,80,1,0.7619047619047619,0.21333333333333335,0.3333333333333333,150,0.5733333333333334
arct,two,0.8,90,0,0.5426356589147286,0.9333333333333333,0.6862745098039216,150,0.5733333333333334
arct,two,0.8,90,1,0.7619047619047619,0.21333333333333335,0.3333333333333333,150,0.5733333333333334
arct,two,0.8,100,0,0.5261194029850746,0.94,0.6746411483253589,150,0.5466666666666666
arct,two,0.8,100,1,0.71875,0.15333333333333332,0.25274725274725274,150,0.5466666666666666
arct,three,0.5,80,0,0.5789473684210527,0.8918918918918919,0.7021276595744681,111,0.6216216216216216
arct,three,0.5,80,1,0.7647058823529411,0.35135135135135137,0.48148148148148157,111,0.6216216216216216
arct,three,0.5,90,0,0.5879120879120879,0.8842975206611571,0.7062706270627064,121,0.6322314049586777
arct,three,0.5,90,1,0.7666666666666667,0.38016528925619836,0.5082872928176796,121,0.6322314049586777
arct,three,0.5,100,0,0.5252918287937743,0.9,0.6633906633906634,150,0.5433333333333333
arct,three,0.5,100,1,0.6511627906976745,0.18666666666666668,0.2901554404145078,150,0.5433333333333333
arct,three,0.55,80,0,0.5909090909090909,0.8739495798319328,0.7050847457627119,119,0.634453781512605
arct,three,0.55,80,1,0.7580645161290323,0.3949579831932773,0.5193370165745856,119,0.634453781512605
arct,three,0.55,90,0,0.5989304812834224,0.8682170542635659,0.7088607594936709,129,0.6434108527131783
arct,three,0.55,90,1,0.7605633802816901,0.4186046511627907,0.54,129,0.6434108527131783
arct,three,0.55,100,0,0.5349794238683128,0.8666666666666667,0.6615776081424937,150,0.5566666666666666
arct,three,0.55,100,1,0.6491228070175439,0.24666666666666667,0.357487922705314,150,0.5566666666666666
arct,three,0.6,80,0,0.6071428571428571,0.85,0.7083333333333333,140,0.65
arct,three,0.6,80,1,0.75,0.45,0.5625000000000001,140,0.65
arct,three,0.6,90,0,0.6153846153846154,0.8533333333333334,0.7150837988826816,150,0.66
arct,three,0.6,90,1,0.7608695652173914,0.4666666666666667,0.578512396694215,150,0.66
arct,three,0.6,100,0,0.5454545454545454,0.8,0.6486486486486486,150,0.5666666666666667
arct,three,0.6,100,1,0.625,0.3333333333333333,0.43478260869565216,150,0.5666666666666667
arct,three,0.65,80,0,0.6047619047619047,0.8466666666666667,0.7055555555555556,150,0.6466666666666666
arct,three,0.65,80,1,0.7444444444444445,0.44666666666666666,0.5583333333333333,150,0.6466666666666666
arct,three,0.65,90,0,0.6113744075829384,0.86,0.7146814404432132,150,0.6566666666666666
arct,three,0.65,90,1,0.7640449438202247,0.4533333333333333,0.5690376569037657,150,0.6566666666666666
arct,three,0.65,100,0,0.5592417061611374,0.7866666666666666,0.6537396121883656,150,0.5833333333333334
arct,three,0.65,100,1,0.6404494382022472,0.38,0.4769874476987448,150,0.5833333333333334
arct,three,0.7,80,0,0.6063348416289592,0.8933333333333333,0.7223719676549865,150,0.6566666666666666
arct,three,0.7,80,1,0.7974683544303798,0.42,0.5502183406113538,150,0.6566666666666666
arct,three,0.7,90,0,0.6036036036036037,0.8933333333333333,0.7204301075268817,150,0.6533333333333333
arct,three,0.7,90,1,0.7948717948717948,0.41333333333333333,0.5438596491228069,150,0.6533333333333333
arct,three,0.7,100,0,0.5746606334841629,0.8466666666666667,0.6846361185983827,150,0.61
arct,three,0.7,100,1,0.7088607594936709,0.37333333333333335,0.48908296943231444,150,0.61
arct,three,0.75,80,0,0.5872340425531914,0.92,0.7168831168831169,150,0.6366666666666667
arct,three,0.75,80,1,0.8153846153846154,0.35333333333333333,0.49302325581395345,150,0.6366666666666667
arct,three,0.75,90,0,0.5847457627118644,0.92,0.7150259067357513,150,0.6333333333333333
arct,three,0.75,90,1,0.8125,0.3466666666666667,0.48598130841121495,150,0.6333333333333333
arct,three,0.75,100,0,0.5578512396694215,0.9,0.6887755102040817,150,0.5933333333333334
arct,three,0.75,100,1,0.7413793103448276,0.2866666666666667,0.41346153846153855,150,0.5933333333333334
arct,three,0.8,80,0,0.570281124497992,0.9466666666666667,0.7117794486215537,150,0.6166666666666667
arct,three,0.8,80,1,0.8431372549019608,0.2866666666666667,0.42786069651741293,150,0.6166666666666667
arct,three,0.8,90,0,0.568,0.9466666666666667,0.7100000000000001,150,0.6133333333333333
arct,three,0.8,90,1,0.84,0.28,0.42,150,0.6133333333333333
arct,three,0.8,100,0,0.5369649805447471,0.92,0.6781326781326781,150,0.5633333333333334
arct,three,0.8,100,1,0.7209302325581395,0.20666666666666667,0.3212435233160622,150,0.5633333333333334
anli,original,0.5,80,0,0.5060240963855421,0.84,0.631578947368421,150,0.51
anli,original,0.5,80,1,0.5294117647058824,0.18,0.26865671641791045,150,0.51
anli,original,0.5,90,0,0.5086206896551724,0.7866666666666666,0.6178010471204188,150,0.5133333333333333
anli,original,0.5,90,1,0.5294117647058824,0.24,0.33027522935779813,150,0.5133333333333333
anli,original,0.5,100,0,0.508,0.8466666666666667,0.635,150,0.5133333333333333
anli,original,0.5,100,1,0.54,0.18,0.27,150,0.5133333333333333
anli,original,0.55,80,0,0.5109170305676856,0.78,0.6174142480211082,150,0.5166666666666667
anli,original,0.55,80,1,0.5352112676056338,0.25333333333333335,0.34389140271493207,150,0.5166666666666667
anli,original,0.55,90,0,0.5024154589371981,0.6933333333333334,0.5826330532212884,150,0.5033333333333333
anli,original,0.55,90,1,0.5053763440860215,0.31333333333333335,0.3868312757201646,150,0.5033333333333333
anli,original,0.55,100,0,0.5056179775280899,0.6,0.5487804878048781,150,0.5066666666666667
anli,original,0.55,100,1,0.5081967213114754,0.41333333333333333,0.45588235294117646,150,0.5066666666666667
anli,original,0.6,80,0,0.49206349206349204,0.8266666666666667,0.6169154228855721,150,0.4866666666666667
anli,original,0.6,80,1,0.4583333333333333,0.14666666666666667,0.22222222222222224,150,0.4866666666666667
anli,original,0.6,90,0,0.49173553719008267,0.7933333333333333,0.6071428571428572,150,0.4866666666666667
anli,original,0.6,90,1,0.46551724137931033,0.18,0.2596153846153846,150,0.4866666666666667
anli,original,0.6,100,0,0.5,0.72,0.5901639344262295,150,0.5
anli,original,0.6,100,1,0.5,0.28,0.358974358974359,150,0.5
anli,original,0.65,80,0,0.4963235294117647,0.9,0.6398104265402843,150,0.49333333333333335
anli,original,0.65,80,1,0.4642857142857143,0.08666666666666667,0.14606741573033707,150,0.49333333333333335
anli,original,0.65,90,0,0.4963235294117647,0.9,0.6398104265402843,150,0.49333333333333335
anli,original,0.65,90,1,0.4642857142857143,0.08666666666666667,0.14606741573033707,150,0.49333333333333335
anli,original,0.65,100,0,0.5018587360594795,0.9,0.6443914081145584,150,0.5033333333333333
anli,original,0.65,100,1,0.5161290322580645,0.10666666666666667,0.17679558011049723,150,0.5033333333333333
anli,original,0.7,80,0,0.5017182130584192,0.9733333333333334,0.6621315192743764,150,0.5033333333333333
anli,original,0.7,80,1,0.5555555555555556,0.03333333333333333,0.06289308176100629,150,0.5033333333333333
anli,original,0.7,90,0,0.5034246575342466,0.98,0.6651583710407241,150,0.5066666666666667
anli,original,0.7,90,1,0.625,0.03333333333333333,0.06329113924050632,150,0.5066666666666667
anli,original,0.7,100,0,0.503448275862069,0.9733333333333334,0.6636363636363636,150,0.5066666666666667
anli,original,0.7,100,1,0.6,0.04,0.075,150,0.5066666666666667
anli,original,0.75,80,0,0.5,0.98,0.6621621621621622,150,0.5
anli,original,0.75,80,1,0.5,0.02,0.038461538461538464,150,0.5
anli,original,0.75,90,0,0.5,0.98,0.6621621621621622,150,0.5
anli,original,0.75,90,1,0.5,0.02,0.038461538461538464,150,0.5
anli,original,0.75,100,0,0.49830508474576274,0.98,0.6606741573033709,150,0.49666666666666665
anli,original,0.75,100,1,0.4,0.013333333333333334,0.02580645161290323,150,0.49666666666666665
anli,original,0.8,80,0,0.5,1.0,0.6666666666666666,150,0.5
anli,original,0.8,80,1,0.0,0.0,0.0,150,0.5
anli,original,0.8,90,0,0.5,1.0,0.6666666666666666,150,0.5
anli,original,0.8,90,1,0.0,0.0,0.0,150,0.5
anli,original,0.8,100,0,0.5,1.0,0.6666666666666666,150,0.5
anli,original,0.8,100,1,0.0,0.0,0.0,150,0.5
anli,one,0.5,80,0,0.5782608695652174,0.8866666666666667,0.7,150,0.62
anli,one,0.5,80,1,0.7571428571428571,0.35333333333333333,0.4818181818181818,150,0.62
anli,one,0.5,90,0,0.583710407239819,0.86,0.6954177897574124,150,0.6233333333333333
anli,one,0.5,90,1,0.7341772151898734,0.38666666666666666,0.5065502183406114,150,0.6233333333333333
anli,one,0.5,100,0,0.5428571428571428,0.8866666666666667,0.6734177215189874,150,0.57
anli,one,0.5,100,1,0.6909090909090909,0.25333333333333335,0.37073170731707317,150,0.57
anli,one,0.55,80,0,0.596244131455399,0.8466666666666667,0.699724517906336,150,0.6366666666666667
anli,one,0.55,80,1,0.735632183908046,0.4266666666666667,0.540084388185654,150,0.6366666666666667
anli,one,0.55,90,0,0.5980392156862745,0.8133333333333334,0.6892655367231638,150,0.6333333333333333
anli,one,0.55,90,1,0.7083333333333334,0.4533333333333333,0.5528455284552846,150,0.6333333333333333
anli,one,0.55,100,0,0.5857988165680473,0.66,0.6206896551724138,150,0.5966666666666667
anli,one,0.55,100,1,0.6106870229007634,0.5333333333333333,0.5693950177935944,150,0.5966666666666667
anli,one,0.6,80,0,0.5947136563876652,0.9,0.7161803713527851,150,0.6433333333333333
anli,one,0.6,80,1,0.7945205479452054,0.38666666666666666,0.5201793721973095,150,0.6433333333333333
anli,one,0.6,90,0,0.6026785714285714,0.9,0.7219251336898396,150,0.6533333333333333
anli,one,0.6,90,1,0.8026315789473685,0.4066666666666667,0.5398230088495576,150,0.6533333333333333
anli,one,0.6,100,0,0.5916230366492147,0.7533333333333333,0.6627565982404692,150,0.6166666666666667
anli,one,0.6,100,1,0.6605504587155964,0.48,0.555984555984556,150,0.6166666666666667
anli,one,0.65,80,0,0.5593869731800766,0.9733333333333334,0.7104622871046227,150,0.6033333333333334
anli,one,0.65,80,1,0.8974358974358975,0.23333333333333334,0.3703703703703704,150,0.6033333333333334
anli,one,0.65,90,0,0.5637065637065637,0.9733333333333334,0.7139364303178484,150,0.61
anli,one,0.65,90,1,0.9024390243902439,0.24666666666666667,0.387434554973822,150,0.61
anli,one,0.65,100,0,0.5643153526970954,0.9066666666666666,0.6956521739130435,150,0.6033333333333334
anli,one,0.65,100,1,0.7627118644067796,0.3,0.43062200956937796,150,0.6033333333333334
anli,one,0.7,80,0,0.5263157894736842,1.0,0.6896551724137931,150,0.55
anli,one,0.7,80,1,1.0,0.1,0.18181818181818182,150,0.55
anli,one,0.7,90,0,0.528169014084507,1.0,0.6912442396313364,150,0.5533333333333333
anli,one,0.7,90,1,1.0,0.10666666666666667,0.1927710843373494,150,0.5533333333333333
anli,one,0.7,100,0,0.5270758122743683,0.9733333333333334,0.6838407494145199,150,0.55
anli,one,0.7,100,1,0.8260869565217391,0.12666666666666668,0.21965317919075145,150,0.55
anli,one,0.75,80,0,0.5121107266435986,0.9866666666666667,0.6742596810933941,150,0.5233333333333333
anli,one,0.75,80,1,0.8181818181818182,0.06,0.11180124223602485,150,0.5233333333333333
anli,one,0.75,90,0,0.5121107266435986,0.9866666666666667,0.6742596810933941,150,0.5233333333333333
anli,one,0.75,90,1,0.8181818181818182,0.06,0.11180124223602485,150,0.5233333333333333
anli,one,0.75,100,0,0.5104895104895105,0.9733333333333334,0.6697247706422018,150,0.52
anli,one,0.75,100,1,0.7142857142857143,0.06666666666666667,0.12195121951219512,150,0.52
anli,one,0.8,80,0,0.5067567567567568,1.0,0.672645739910314,150,0.5133333333333333
anli,one,0.8,80,1,1.0,0.02666666666666667,0.05194805194805195,150,0.5133333333333333
